Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'In')	 : 4	 : 0.0008551393877201984
('In', 'January')	 : 2	 : 0.0005309734513274337
('January', ',')	 : 3	 : 0.0007127583749109052
(',', 'American')	 : 1	 : 0.0002621231979030144
('American', 'Medical')	 : 2	 : 0.0005330490405117271
('Medical', 'brought')	 : 1	 : 0.0003566333808844508
('brought', 'in')	 : 1	 : 0.00035650623885918
('in', 'a')	 : 23	 : 0.00402347024308466
('a', 'new')	 : 20	 : 0.003393665158371041
('new', 'chief')	 : 3	 : 0.0007052186177715092
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', ',')	 : 56	 : 0.009928583870405853
(',', 'Richard')	 : 2	 : 0.00039318479685452164
('Richard', 'A.')	 : 1	 : 0.00035542918073573843
('A.', 'Gilleland')	 : 1	 : 0.00035542918073573843
('Gilleland', ',')	 : 1	 : 0.0003566969859104691
(',', '45')	 : 3	 : 0.0005242463958060288
('45', ',')	 : 1	 : 0.0003564427018356799
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'will')	 : 8	 : 0.0015778401122019635
('will', 'remain')	 : 13	 : 0.0024475524475524478
('remain', 'as')	 : 1	 : 0.0003553028957186001
('as', 'chairman')	 : 25	 : 0.004517025712300208
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'president')	 : 35	 : 0.00471821756225426
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', '.')	 : 10	 : 0.0018981880931837791
('.', 'Ralph')	 : 1	 : 0.0003028009084027252
('Ralph', 'T.')	 : 1	 : 0.00035650623885918
('T.', 'Linsley')	 : 1	 : 0.00035612535612535614
('Linsley', ',')	 : 1	 : 0.0003566969859104691
(',', 'vice')	 : 16	 : 0.0022280471821756226
('vice', 'chairman')	 : 43	 : 0.007771105616389968
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Eagle')	 : 2	 : 0.0004584352078239609
('Eagle', ',')	 : 2	 : 0.0005349500713266762
(',', 'will')	 : 21	 : 0.0028833551769331584
('will', 'become')	 : 8	 : 0.0015734265734265735
('become', 'vice')	 : 3	 : 0.0007121239095602635
('vice', 'chairman')	 : 43	 : 0.007771105616389968
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Webster\\/Eagle')	 : 1	 : 0.0003056234718826406
('Webster\\/Eagle', '.')	 : 2	 : 0.0005349500713266762
('.', 'Orkem')	 : 1	 : 0.0003028009084027252
('Orkem', 'declined')	 : 1	 : 0.0003566969859104691
('declined', 'to')	 : 3	 : 0.0007128854036713598
('to', 'give')	 : 7	 : 0.001278976818545164
('give', 'details')	 : 1	 : 0.000355998576005696
('details', 'of')	 : 1	 : 0.0003566333808844508
('of', 'its')	 : 29	 : 0.004584352078239609
('its', 'offer')	 : 4	 : 0.0008718395815170009
('offer', ',')	 : 2	 : 0.0005322924059616749
(',', 'saying')	 : 5	 : 0.0007863695937090433
('saying', 'only')	 : 1	 : 0.00035612535612535614
('only', 'that')	 : 1	 : 0.0003557452863749555
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'bid')	 : 2	 : 0.00042637862421830583
('bid', 'will')	 : 1	 : 0.000354924578527063
('will', 'be')	 : 24	 : 0.004370629370629371
('be', 'submitted')	 : 1	 : 0.00035001750087504374
('submitted', 'for')	 : 1	 : 0.0003566969859104691
('for', 'approval')	 : 1	 : 0.0003471017007983339
('approval', 'by')	 : 2	 : 0.0005345687811831789
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'of')	 : 27	 : 0.004688546550569324
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'British')	 : 5	 : 0.0008527572484366117
('British', 'company')	 : 1	 : 0.00035587188612099647
('company', '.')	 : 22	 : 0.003997914131757344
('.', 'But')	 : 26	 : 0.00408781226343679
('But', 'in')	 : 1	 : 0.000354924578527063
('in', '1935')	 : 1	 : 0.00033528918692372173
('1935', ',')	 : 1	 : 0.0003566969859104691
(',', 'when')	 : 11	 : 0.0015727391874180866
('when', 'Congress')	 : 1	 : 0.0003549875754348598
('Congress', 'was')	 : 2	 : 0.0005342831700801424
('was', 'trying')	 : 1	 : 0.0003459609064175748
('trying', 'to')	 : 8	 : 0.0016031350195938724
('to', 'find')	 : 3	 : 0.000639488409272582
('find', 'someone')	 : 1	 : 0.00035656979853806385
('someone', 'or')	 : 1	 : 0.0003566333808844508
('or', 'something')	 : 1	 : 0.00035323207347227127
('something', 'to')	 : 1	 : 0.0003563156957063959
('to', 'blame')	 : 1	 : 0.000319744204636291
('blame', 'for')	 : 1	 : 0.0003566969859104691
('for', 'the')	 : 40	 : 0.007115584866365845
('the', 'Great')	 : 1	 : 0.0002842524161455372
('Great', 'Depression')	 : 1	 : 0.00035650623885918
('Depression', ',')	 : 1	 : 0.0003566969859104691
(',', 'it')	 : 12	 : 0.0017038007863695937
('it', 'decided')	 : 1	 : 0.0003506311360448808
('decided', 'to')	 : 4	 : 0.0008907892392659896
('to', 'drop')	 : 2	 : 0.00047961630695443646
('drop', 'both')	 : 1	 : 0.00035618878005342833
('both', 'the')	 : 2	 : 0.0005345687811831789
('the', 'secretary')	 : 2	 : 0.00042637862421830583
('secretary', 'and')	 : 1	 : 0.0003563791874554526
('and', 'the')	 : 40	 : 0.006525545121757122
('the', 'comptroller')	 : 2	 : 0.00042637862421830583
('comptroller', 'from')	 : 1	 : 0.0003566333808844508
('from', 'the')	 : 22	 : 0.004043600562587905
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'Treasury')	 : 1	 : 0.0003028009084027252
('Treasury', 'Undersecretary')	 : 1	 : 0.000355998576005696
('Undersecretary', 'David')	 : 1	 : 0.0003566333808844508
('David', 'Mulford')	 : 1	 : 0.00035555555555555557
('Mulford', ',')	 : 1	 : 0.0003566969859104691
(',', 'for')	 : 6	 : 0.0009174311926605505
('for', 'instance')	 : 1	 : 0.0003471017007983339
('instance', ',')	 : 1	 : 0.0003566969859104691
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'at')	 : 2	 : 0.0005189413596263622
('at', 'a')	 : 16	 : 0.0029793200140203293
('a', 'meeting')	 : 2	 : 0.0004848093083387201
('meeting', 'of')	 : 1	 : 0.00035536602700781805
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'Business')	 : 3	 : 0.0005685048322910744
('Business', 'Council')	 : 3	 : 0.0007125044531528322
('Council', 'in')	 : 1	 : 0.00035618878005342833
('in', 'Hot')	 : 1	 : 0.00033528918692372173
('Hot', 'Springs')	 : 1	 : 0.0003566969859104691
('Springs', ',')	 : 1	 : 0.0003566969859104691
(',', 'Va.')	 : 1	 : 0.0002621231979030144
('Va.', ',')	 : 1	 : 0.0003566969859104691
(',', 'when')	 : 11	 : 0.0015727391874180866
('when', 'the')	 : 6	 : 0.0012424565140220093
('the', 'stock')	 : 8	 : 0.0012791358726549175
('stock', 'market')	 : 4	 : 0.000885582713425434
('market', 'fell')	 : 1	 : 0.00035391966023712616
('fell', ',')	 : 1	 : 0.00035650623885918
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'remained')	 : 1	 : 0.0003183192742320548
('remained', 'there')	 : 1	 : 0.0003566969859104691
('there', 'through')	 : 1	 : 0.00035561877667140827
('through', 'the')	 : 9	 : 0.0017780938833570413
('the', 'following')	 : 1	 : 0.0002842524161455372
('following', 'day')	 : 1	 : 0.0003566333808844508
('day', '.')	 : 1	 : 0.00035618878005342833
('.', 'He')	 : 30	 : 0.004693414080242241
('He', 'will')	 : 5	 : 0.0010636411983690835
('will', 'remain')	 : 13	 : 0.0024475524475524478
('remain', 'chairman')	 : 5	 : 0.0010659086871558003
('chairman', '.')	 : 37	 : 0.006168831168831169
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'memo')	 : 1	 : 0.0003473428273706148
('memo', 'attempts')	 : 1	 : 0.0003566333808844508
('attempts', 'to')	 : 2	 : 0.0005349500713266762
('to', 'remove')	 : 2	 : 0.00047961630695443646
('remove', 'the')	 : 1	 : 0.0003566333808844508
('the', 'tourist')	 : 3	 : 0.0005685048322910744
('tourist', 'board')	 : 3	 : 0.0007131395970761277
('board', 'as')	 : 4	 : 0.0008372404554588078
('as', 'far')	 : 1	 : 0.00034746351633078526
('far', 'as')	 : 1	 : 0.0003564427018356799
('as', 'possible')	 : 1	 : 0.00034746351633078526
('possible', 'from')	 : 1	 : 0.00035656979853806385
('from', 'the')	 : 22	 : 0.004043600562587905
('the', 'agency')	 : 6	 : 0.0009948834565093804
('agency', ',')	 : 1	 : 0.00035587188612099647
(',', 'which')	 : 37	 : 0.004980340760157274
('which', 'pleaded')	 : 1	 : 0.0003537944454272068
('pleaded', 'innocent')	 : 1	 : 0.0003566969859104691
('innocent', 'to')	 : 1	 : 0.0003566969859104691
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'charges')	 : 1	 : 0.0002842524161455372
('charges', '.')	 : 1	 : 0.00035656979853806385
('.', 'J.')	 : 1	 : 0.0003028009084027252
('J.', 'Michael')	 : 1	 : 0.0003551136363636364
('Michael', 'Cook')	 : 1	 : 0.0003559352197899982
('Cook', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Deloitte')	 : 1	 : 0.0003056234718826406
('Deloitte', ',')	 : 1	 : 0.0003566969859104691
(',', 'Haskins')	 : 1	 : 0.0002621231979030144
('Haskins', '&')	 : 1	 : 0.0003566969859104691
('&', 'Sells')	 : 1	 : 0.00035423308537017357
('Sells', 'International')	 : 1	 : 0.00035656979853806385
('International', ',')	 : 1	 : 0.000355998576005696
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'he')	 : 21	 : 0.00373704773229149
('he', 'believes')	 : 1	 : 0.00035137034434293746
('believes', 'the')	 : 1	 : 0.0003566969859104691
('the', 'legal')	 : 1	 : 0.0002842524161455372
('legal', 'action')	 : 2	 : 0.0005344735435595938
('action', 'by')	 : 1	 : 0.00035650623885918
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'British')	 : 5	 : 0.0008527572484366117
('British', 'firm')	 : 1	 : 0.00035587188612099647
('firm', '``')	 : 1	 : 0.000354924578527063
('``', 'to')	 : 4	 : 0.0008541168431841476
('to', 'be')	 : 28	 : 0.004636290967226219
('be', 'without')	 : 1	 : 0.00035001750087504374
('without', 'merit')	 : 1	 : 0.00035650623885918
('merit', '.')	 : 1	 : 0.0003566969859104691
('.', "''")	 : 64	 : 0.00984102952308857
("''", 'Other')	 : 1	 : 0.0003420557550880794
('Other', 'conservatives')	 : 1	 : 0.00035650623885918
('conservatives', 'thought')	 : 1	 : 0.0003566969859104691
('thought', 'to')	 : 2	 : 0.0005348546978070957
('to', 'be')	 : 28	 : 0.004636290967226219
('be', 'on')	 : 2	 : 0.0005250262513125656
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'administration')	 : 2	 : 0.00042637862421830583
('administration', "'s")	 : 1	 : 0.00035606195478013177
("'s", 'short')	 : 1	 : 0.00033383408446002337
('short', 'list')	 : 1	 : 0.0003566333808844508
('list', 'include')	 : 1	 : 0.0003566333808844508
('include', 'Washington')	 : 1	 : 0.0003563156957063959
('Washington', 'lawyer')	 : 1	 : 0.0003563791874554526
('lawyer', 'Michael')	 : 1	 : 0.0003566969859104691
('Michael', 'Uhlmann')	 : 1	 : 0.0003559352197899982
('Uhlmann', ',')	 : 1	 : 0.0003566969859104691
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'was')	 : 10	 : 0.0019284712482468443
('was', 'passed')	 : 1	 : 0.0003459609064175748
('passed', 'over')	 : 1	 : 0.0003566333808844508
('over', 'for')	 : 1	 : 0.00035542918073573843
('for', 'the')	 : 40	 : 0.007115584866365845
('the', 'No.')	 : 1	 : 0.0002842524161455372
('No.', '2')	 : 1	 : 0.0003566969859104691
('2', 'job')	 : 1	 : 0.0003563156957063959
('job', 'at')	 : 1	 : 0.0003564427018356799
('at', 'the')	 : 28	 : 0.005082369435681739
('the', 'Justice')	 : 1	 : 0.0002842524161455372
('Justice', 'Department')	 : 1	 : 0.0003566969859104691
('Department', ',')	 : 1	 : 0.00035656979853806385
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'Marshall')	 : 1	 : 0.0003183192742320548
('Marshall', 'Breger')	 : 1	 : 0.00035650623885918
('Breger', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'a')	 : 25	 : 0.003973105134474328
('a', 'U.S.')	 : 1	 : 0.0003232062055591467
('U.S.', 'agency')	 : 1	 : 0.00035587188612099647
('agency', 'on')	 : 1	 : 0.00035587188612099647
('on', 'administration')	 : 1	 : 0.00034746351633078526
('administration', '.')	 : 2	 : 0.0005340929321701976
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'new')	 : 4	 : 0.0008683570684265369
('new', 'products')	 : 1	 : 0.0003526093088857546
('products', 'allow')	 : 1	 : 0.0003559352197899982
('allow', 'customers')	 : 1	 : 0.00035656979853806385
('customers', 'to')	 : 1	 : 0.0003563791874554526
('to', 'add')	 : 1	 : 0.000319744204636291
('add', 'Convex')	 : 1	 : 0.0003566333808844508
('Convex', 'machines')	 : 1	 : 0.0003566333808844508
('machines', 'to')	 : 1	 : 0.0003566969859104691
('to', 'established')	 : 1	 : 0.000319744204636291
('established', 'systems')	 : 1	 : 0.00035656979853806385
('systems', 'made')	 : 1	 : 0.0003564427018356799
('made', 'by')	 : 1	 : 0.00035555555555555557
('by', 'other')	 : 1	 : 0.00034837136387388956
('other', 'manufacturers')	 : 1	 : 0.0003545470661230278
('manufacturers', ',')	 : 1	 : 0.0003566969859104691
(',', 'which')	 : 37	 : 0.004980340760157274
('which', '``')	 : 1	 : 0.0003537944454272068
('``', 'opens')	 : 1	 : 0.00034164673727365904
('opens', 'up')	 : 1	 : 0.0003566969859104691
('up', 'a')	 : 2	 : 0.000532103582830791
('a', 'phenomenal')	 : 1	 : 0.0003232062055591467
('phenomenal', 'market')	 : 1	 : 0.0003566969859104691
('market', 'for')	 : 1	 : 0.00035391966023712616
('for', 'us')	 : 5	 : 0.0010413051023950017
('us', ',')	 : 3	 : 0.0007123775601068567
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'said')	 : 48	 : 0.008380365999657944
('said', 'Robert')	 : 5	 : 0.0010191948360794973
('Robert', 'J.')	 : 2	 : 0.0005313496280552603
('J.', 'Paluck')	 : 1	 : 0.0003551136363636364
('Paluck', ',')	 : 1	 : 0.0003566969859104691
(',', 'Convex')	 : 1	 : 0.0002621231979030144
('Convex', "'s")	 : 1	 : 0.0003566333808844508
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', ',')	 : 92	 : 0.015097402597402597
(',', 'president')	 : 35	 : 0.00471821756225426
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', '.')	 : 10	 : 0.0018981880931837791
('.', 'Wilson')	 : 1	 : 0.0003028009084027252
('Wilson', 'H.')	 : 1	 : 0.0003566969859104691
('H.', 'Taylor')	 : 1	 : 0.00035606195478013177
('Taylor', ',')	 : 5	 : 0.0010683760683760685
(',', 'president')	 : 35	 : 0.00471821756225426
('president', 'and')	 : 45	 : 0.008075842696629214
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', 'officer')	 : 114	 : 0.01984469370146678
('officer', 'of')	 : 46	 : 0.008186727051036406
('of', 'this')	 : 53	 : 0.008251833740831296
('this', 'insurance')	 : 3	 : 0.00070212392487274
('insurance', 'and')	 : 1	 : 0.0003562522265764161
('and', 'financial')	 : 4	 : 0.0007957981855801369
('financial', 'services')	 : 2	 : 0.0005329543435779002
('services', 'concern')	 : 5	 : 0.0010678056593699946
('concern', ',')	 : 9	 : 0.0017777777777777779
(',', 'was')	 : 51	 : 0.006815203145478375
('was', 'elected')	 : 19	 : 0.0034596090641757483
('elected', 'to')	 : 12	 : 0.002304555929799681
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'additional')	 : 10	 : 0.0015633882888004549
('additional', 'post')	 : 4	 : 0.0008893632159373888
('post', 'of')	 : 7	 : 0.001422981145499822
('of', 'chairman')	 : 11	 : 0.0018337408312958435
('chairman', '.')	 : 37	 : 0.006168831168831169
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'Fed')	 : 2	 : 0.0005210142410559222
('Fed', 'chairman')	 : 4	 : 0.0008888888888888889
('chairman', "'s")	 : 10	 : 0.0017857142857142857
("'s", 'caution')	 : 1	 : 0.00033383408446002337
('caution', 'was')	 : 1	 : 0.0003566969859104691
('was', 'apparent')	 : 1	 : 0.0003459609064175748
('apparent', 'again')	 : 1	 : 0.00035656979853806385
('again', 'on')	 : 1	 : 0.00035656979853806385
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'Monday')	 : 1	 : 0.0002842524161455372
('Monday', 'morning')	 : 2	 : 0.0005340929321701976
('morning', 'after')	 : 1	 : 0.0003562522265764161
('after', 'the')	 : 7	 : 0.0014199503017394391
('the', 'market')	 : 13	 : 0.001989766913018761
('market', "'s")	 : 4	 : 0.0008847991505928155
("'s", 'plunge')	 : 1	 : 0.00033383408446002337
('plunge', ',')	 : 1	 : 0.0003566333808844508
(',', 'when')	 : 11	 : 0.0015727391874180866
('when', 'the')	 : 6	 : 0.0012424565140220093
('the', 'central')	 : 3	 : 0.0005685048322910744
('central', 'bank')	 : 3	 : 0.00071301247771836
('bank', 'took')	 : 1	 : 0.000354924578527063
('took', 'only')	 : 1	 : 0.000355998576005696
('only', 'modest')	 : 1	 : 0.0003557452863749555
('modest', 'steps')	 : 1	 : 0.0003563791874554526
('steps', 'to')	 : 1	 : 0.0003564427018356799
('to', 'aid')	 : 1	 : 0.000319744204636291
('aid', 'the')	 : 1	 : 0.00035656979853806385
('the', 'markets')	 : 3	 : 0.0005685048322910744
('markets', '.')	 : 3	 : 0.000711997152011392
('.', 'Cipher')	 : 1	 : 0.0003028009084027252
('Cipher', 'Data')	 : 1	 : 0.0003566969859104691
('Data', 'said')	 : 1	 : 0.0003566969859104691
('said', 'Mr.')	 : 12	 : 0.002208255478172244
('Mr.', 'Marinaro')	 : 1	 : 0.00034578146611341634
('Marinaro', 'consequently')	 : 1	 : 0.0003566969859104691
('consequently', 'has')	 : 1	 : 0.0003566969859104691
('has', 'resigned')	 : 1	 : 0.00035112359550561797
('resigned', 'from')	 : 2	 : 0.0005334281650071124
('from', 'those')	 : 1	 : 0.00035161744022503517
('those', 'posts')	 : 4	 : 0.0008898380494749955
('posts', 'and')	 : 1	 : 0.0003563156957063959
('and', 'from')	 : 1	 : 0.0003183192742320548
('from', 'the')	 : 22	 : 0.004043600562587905
('the', 'company')	 : 84	 : 0.012080727686185332
('company', "'s")	 : 42	 : 0.0074743612028506864
("'s", 'board')	 : 48	 : 0.008178935069270572
('board', '.')	 : 57	 : 0.00971198928332217
('.', 'Most')	 : 2	 : 0.0004542013626040878
('Most', 'notably')	 : 1	 : 0.0003566333808844508
('notably', ',')	 : 1	 : 0.00035650623885918
(',', 'several')	 : 2	 : 0.00039318479685452164
('several', 'of')	 : 1	 : 0.0003563156957063959
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'regulatory')	 : 1	 : 0.0002842524161455372
('regulatory', 'steps')	 : 1	 : 0.0003566333808844508
('steps', 'recommended')	 : 1	 : 0.0003564427018356799
('recommended', 'by')	 : 1	 : 0.0003566969859104691
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'Brady')	 : 1	 : 0.0002842524161455372
('Brady', 'Task')	 : 1	 : 0.000355998576005696
('Task', 'Force')	 : 2	 : 0.0005349500713266762
('Force', ',')	 : 2	 : 0.0005349500713266762
(',', 'which')	 : 37	 : 0.004980340760157274
('which', 'analyzed')	 : 1	 : 0.0003537944454272068
('analyzed', 'the')	 : 2	 : 0.0005349500713266762
('the', '1987')	 : 3	 : 0.0005685048322910744
('1987', 'crash')	 : 3	 : 0.0007123775601068567
('crash', ',')	 : 1	 : 0.00035650623885918
(',', 'would')	 : 8	 : 0.001179554390563565
('would', 'be')	 : 21	 : 0.003865073787772312
('be', 'revived')	 : 1	 : 0.00035001750087504374
('revived', '--')	 : 1	 : 0.0003566969859104691
('--', 'especially')	 : 1	 : 0.0003551136363636364
('especially', 'because')	 : 1	 : 0.0003563156957063959
('because', 'that')	 : 1	 : 0.00035542918073573843
('that', 'group')	 : 2	 : 0.0005116834385127068
('group', "'s")	 : 5	 : 0.0010619469026548673
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', 'is')	 : 4	 : 0.0008116883116883117
('is', 'now')	 : 1	 : 0.00034524426031417227
('now', 'the')	 : 2	 : 0.0005337128624799857
('the', 'Treasury')	 : 7	 : 0.0011370096645821489
('Treasury', 'secretary')	 : 1	 : 0.000355998576005696
('secretary', '.')	 : 1	 : 0.0003563791874554526
('.', 'Mr.')	 : 67	 : 0.010295230885692657
('Mr.', 'Gaubert')	 : 1	 : 0.00034578146611341634
('Gaubert', ',')	 : 1	 : 0.0003566969859104691
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'was')	 : 10	 : 0.0019284712482468443
('was', 'chairman')	 : 6	 : 0.0012108631724615118
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'the')	 : 40	 : 0.006525545121757122
('the', 'majority')	 : 1	 : 0.0002842524161455372
('majority', 'stockholder')	 : 1	 : 0.000355998576005696
('stockholder', 'of')	 : 1	 : 0.0003566969859104691
('of', 'Independent')	 : 2	 : 0.0004584352078239609
('Independent', 'American')	 : 1	 : 0.0003566333808844508
('American', ',')	 : 1	 : 0.00035536602700781805
(',', 'had')	 : 5	 : 0.0007863695937090433
('had', 'relinquished')	 : 1	 : 0.00035373187124159886
('relinquished', 'his')	 : 1	 : 0.0003566969859104691
('his', 'control')	 : 2	 : 0.0005276116778051355
('control', 'in')	 : 2	 : 0.0005339028296849973
('in', 'exchange')	 : 1	 : 0.00033528918692372173
('exchange', 'for')	 : 1	 : 0.0003559352197899982
('for', 'federal')	 : 1	 : 0.0003471017007983339
('federal', 'regulators')	 : 2	 : 0.0005338078291814947
('regulators', "'")	 : 1	 : 0.00035650623885918
("'", 'agreement')	 : 1	 : 0.00035536602700781805
('agreement', 'to')	 : 1	 : 0.00035606195478013177
('to', 'drop')	 : 2	 : 0.00047961630695443646
('drop', 'their')	 : 1	 : 0.00035618878005342833
('their', 'inquiry')	 : 1	 : 0.0003553028957186001
('inquiry', 'into')	 : 1	 : 0.00035656979853806385
('into', 'his')	 : 3	 : 0.0007107320540156361
('his', 'activities')	 : 1	 : 0.00035174111853675694
('activities', 'at')	 : 1	 : 0.0003566333808844508
('at', 'another')	 : 1	 : 0.0003505082369435682
('another', 'savings')	 : 1	 : 0.00035587188612099647
('savings', 'and')	 : 2	 : 0.0005348546978070957
('and', 'loan')	 : 2	 : 0.0004774789113480821
('loan', '.')	 : 1	 : 0.00035650623885918
('.', 'And')	 : 7	 : 0.0012112036336109008
('And', 'Bill')	 : 1	 : 0.0003562522265764161
('Bill', 'Konopnicki')	 : 1	 : 0.00035656979853806385
('Konopnicki', ',')	 : 1	 : 0.0003566969859104691
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'Safford')	 : 1	 : 0.0003232062055591467
('Safford', ',')	 : 1	 : 0.0003566969859104691
(',', 'Ariz.')	 : 1	 : 0.0002621231979030144
('Ariz.', ',')	 : 1	 : 0.0003566969859104691
(',', 'licensee')	 : 1	 : 0.0002621231979030144
('licensee', 'of')	 : 1	 : 0.0003566969859104691
('of', 'McDonald')	 : 1	 : 0.0003056234718826406
('McDonald', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'Corp.')	 : 1	 : 0.00033383408446002337
('Corp.', 'who')	 : 2	 : 0.0005294740557712672
('who', 'is')	 : 13	 : 0.0024544179523141654
('is', 'chairman')	 : 12	 : 0.00224408769204212
